id,input,output,remark
102020,Aabvel,अबवेल,normal
1105051,Achuthamangala,अछूतहअमंगलअ,normal
118962,Aanikadu,अनिकअडु,normal
123809,AarnaIntech,अरनैनतेच,normal
119004,Aaniyilappu,अनियिलप्पू,normal
1229862,Aarikhana,अरीखअनअ,normal
1229863,Aasgol,असगोल,normal
123819,Aarnala,अरनअलअ,normal
1229872,Abhalvad,अभिलवअद,normal
1229915,Adavisarangapur,अदविसअरंगपुर,normal
1229916,Adavisathyavar,अदवीसतयवर,normal
1229939,Adhalpur,अदलपुर,normal
1229943,Adhimahadkhadi,अधिमअहअड़खडी,normal
163975,Abuasim,अबुआसिम,normal
176864,Adamshah,आदमशअह,normal
1843886,Aanaimangalam,अनीमंगलम,normal
1843887,Aanchaanvayal,आचअनवअयल,normal
1843893,Adhaliyur,अधलियूर,normal
700189,Adasrlapadu,अदसरलपअडु,normal
1241181,Adegoam,अड़ेगोयम,normal
93084,ASDatachamp,आसदतचंप,normal
52498,ACBN,अ.स.बी.न,abbr
66868,AKBP,अ.क.बी.प,abbr
111823,Aakarnagar,आकअरनगर,normal
1233649,Aathamana,अथमनअ,normal
674094,Acclimati,ैक्लिमटी,normal
95265,ASquare,असकरे,normal
108863,Aahatguri,अहतगुरी,normal
116058,Aamaliyat,आमअलियत,normal
116317,Aambakhut,आम्बअखूट,normal
170578,Acharyaranga,आचअर्यरंगअ,normal
107224,Aadpora,अदपुरअ,normal
1148777,Achaba,चबअ,normal
117148,Aammapatti,अममपट्टी,normal
118580,Aandb,अंडब,normal
1213865,Adaikkadevan,अदिक्कदेवन,normal
122552,Aardya,अर्द्य,normal
1252197,Aafwa,आफ्वअ,normal
134766,Aathawada,आठवडअ,normal
1370190,Addani,अडअनी,normal
138392,Aayusman,आयुष्मअन,normal
139409,Abadasan,अबअदसँ,normal
140203,Abashapan,अबशअपअन,normal
145725,Abdullagarh,अब्दुल्लअगढ़,normal
147128,Abharampara,अभअरंपरअ,normal
148898,Abheysingh,अभयसिंह,normal
1503879,Aavashyak,आवश्यक,normal
164505,Abusama,अबूसअमअ,normal
164661,Abyay,अब्यय,normal
165788,Accentiqa,असेंटिकअ,normal
168746,Achaipally,चैपअली,normal
169087,Achallu,अचळु,normal
169388,Achankuttapatty,अचनकुट्टअपट्टी,normal
173570,Actifio,ेक्टिफिआ,normal
175947,Adakepal,अदकपअल,normal
176513,Adamatom,अदमतोम,normal
176564,Adamdih,अदम्दिह,normal
183671,Adavilinga,एडविलिंगअ,normal
183689,Adaviramaram,अदवीरअमरम,normal
183848,Adbalaka,अदबलकअ,normal
185130,Addomajra,अद्दोमअजरअ,normal
186673,Adhambar,आडम्बर,normal
186756,Adhanian,अधअन्यं,normal
228987, Wadibhgai, वदिभगअई,normal
298432,Aasmarak,अस्मअरक,normal
44268,Adagency,अडगेंसी,normal
598110,Abathsagayeswarar,आबथसगयेसवरअर,normal
598737,Abirameswarar,अबिरमेस्वरअर,normal
768364,Aadhyatmak,आध्यअत्मिक,normal
1120452,ADSK,अ.डी.स.क,abbr
1262726,AYSS,अ.य.स.स,abbr
1281909,AMCU,अ.म.स.ु,abbr
78157,AOEC,अ.ो.इ.स,abbr
94987,ASSV,अ.स.स.व्,abbr
98354,AVDC,अ.व्.डी.स,abbr
95876,ATG's,ॉग'स,special
10588,23th,23तह,alphanum
15006,39Ft,39फट,alphanum
16442,1CCL,1सक्ल,alphanum
16443,4CCL,4सक्ल,alphanum
4701,101Cart,101कअर्ट,alphanum
110941,Aajamgarh,आजमगढ़,normal
110967,Aajanva,अजनवअ,normal
111251,Aakale,अकले,normal
117608,Aanaivari,आनेवअरी,normal
117938,Aanandraj,आनंदरअज,normal
1278963,Abadulat,अबदुलअत,normal
1345134,Achoora,चूरअ,normal
1358585, Sadaniya, सदनीय,normal
14131,Aatra,अत्र,normal
157710,Abhwas,अभ्वअस,normal
175306,AdLounge,अदलोँगे,normal
175494,Adamunda,अदमुंडअ,normal
597725,Abathsahyeswarar,आबथसहयेश्वरर,normal
606524,Adasaralapadu,अदसरअलअपअडु,normal
170673,Achchaiya,अच्छअइयअ,normal
171171,Achidar,अचिदअर,normal
171878,Acholpara,चोलपअरअ,normal
172563,Ackhhavar,ैखहअवर,normal
714103,Adsili,अड़सीली,normal
861054,Akramiya,अक्रमियअ,normal
1843896,Agalangan,अगलंगन,normal
1232560,Dammakkapet,दम्मक्कअपेट,normal
1843906,Akchathiram,अक्चअतीरअम,normal
1843910,Alagudi,अलगुड़ी,normal
1843918,Alavottai,अलअवोत्ति,normal
191519,Adiarpara,अदीअरपअरअ,normal
191688,Adice,आदिके,normal
1234483,Alakpura,अलकपुरअ,normal
256555,Ajadmore,आजअदमोरे,normal
256849,Ajalady,अजलदी,normal
256999,Ajaminal,अजमीनल,normal
313912,Alapoil,अलअपोइल,normal
1241188,Agrahampad,अगरहमपअद,normal
